INPUT,TARGET
Était une aventure (ignorant votre Chasse),Dont à nos bons destins nous dussions rendre grâce :
Dont à nos bons destins nous dussions rendre grâce :,Mais à cette froideur je connais clairement
Mais à cette froideur je connais clairement,"Que je dois concevoir un autre sentiment,"
"Que je dois concevoir un autre sentiment,",Et quereller du sort la fatale puissance
Et quereller du sort la fatale puissance,Qui me fait avoir part à ce qui vous offense.
Qui me fait avoir part à ce qui vous offense.,"Pour moi je tiens, Madame, à sensible bonheur"
"Pour moi je tiens, Madame, à sensible bonheur","L’action où pour vous a volé tout mon cœur,"
"L’action où pour vous a volé tout mon cœur,","Et ne puis consentir, malgré votre murmure,"
"Et ne puis consentir, malgré votre murmure,",À quereller le sort d’une telle aventure :
À quereller le sort d’une telle aventure :,D’un objet odieux je sais que tout déplaît ;
D’un objet odieux je sais que tout déplaît ;,"Mais dût votre courroux être plus grand qu’il n’est,"
"Mais dût votre courroux être plus grand qu’il n’est,","C’est extrême plaisir, quand l’amour est extrême,"
"C’est extrême plaisir, quand l’amour est extrême,",De pouvoir d’un péril affranchir ce qu’on aime.
De pouvoir d’un péril affranchir ce qu’on aime.,"Et pensez-vous, Seigneur, puisqu’il me faut parler,"
"Et pensez-vous, Seigneur, puisqu’il me faut parler,",Qu’il eût en ce péril de quoi tant m’ébranler ?
Qu’il eût en ce péril de quoi tant m’ébranler ?,"Que l’Arc, et que le Dard, pour moi si pleins de charmes,"
"Que l’Arc, et que le Dard, pour moi si pleins de charmes,",Ne soient entre mes mains que d’inutiles armes ?
Ne soient entre mes mains que d’inutiles armes ?,"Et que je fasse, enfin, mes plus fréquents emplois"
"Et que je fasse, enfin, mes plus fréquents emplois","De parcourir nos monts, nos plaines et nos bois,"
"De parcourir nos monts, nos plaines et nos bois,",Pour n’oser en chassant concevoir l’espérance
Pour n’oser en chassant concevoir l’espérance,De suffire moi seule à ma propre défense ?
De suffire moi seule à ma propre défense ?,Certes avec le temps j’aurais bien profité
Certes avec le temps j’aurais bien profité,De ces soins assidus dont je fais vanité
De ces soins assidus dont je fais vanité,"S’il fallait que mon bras, dans une telle quête,"
"S’il fallait que mon bras, dans une telle quête,",Ne pût pas triompher d’une chétive bête ;
Ne pût pas triompher d’une chétive bête ;,Du moins si pour prétendre à de sensibles coups
Du moins si pour prétendre à de sensibles coups,"Le commun de mon sexe est trop mal avec vous,"
"Le commun de mon sexe est trop mal avec vous,","D’un étage plus haut accordez-moi la gloire,"
"D’un étage plus haut accordez-moi la gloire,","Et me faites tous deux cette grâce de croire,"
"Et me faites tous deux cette grâce de croire,","Seigneurs, que quel que fût le Sanglier d’aujourd’hui,"
"Seigneurs, que quel que fût le Sanglier d’aujourd’hui,","J’en ai mis bas, sans vous, de plus méchants que lui."
"J’en ai mis bas, sans vous, de plus méchants que lui.","Mais, Madame…"
"Mais, Madame…","Hé bien, soit, je vois que votre envie"
"Hé bien, soit, je vois que votre envie",Est de persuader que je vous dois la vie ;
Est de persuader que je vous dois la vie ;,"J’y consens ; oui sans vous c’était fait de mes jours,"
"J’y consens ; oui sans vous c’était fait de mes jours,","Je rends de tout mon cœur grâce à ce grand secours,"
"Je rends de tout mon cœur grâce à ce grand secours,",Et je vais de ce pas au Prince pour lui dire
Et je vais de ce pas au Prince pour lui dire,Les bontés que pour moi votre amour vous inspire.
Les bontés que pour moi votre amour vous inspire.,Heu ! a-t-on jamais vu de plus farouche esprit ?
Heu ! a-t-on jamais vu de plus farouche esprit ?,De ce vilain Sanglier l’heureux trépas l’aigrit :
De ce vilain Sanglier l’heureux trépas l’aigrit :,Ô comme volontiers j’aurais d’un beau salaire
Ô comme volontiers j’aurais d’un beau salaire,Récompensé tantôt qui m’en eût su défaire !
Récompensé tantôt qui m’en eût su défaire !,"Je vous vois tout pensif, Seigneur, de ses dédains ;"
"Je vous vois tout pensif, Seigneur, de ses dédains ;","Mais ils n’ont rien qui doive empêcher vos desseins,"
"Mais ils n’ont rien qui doive empêcher vos desseins,","Son heure doit venir, et c’est à vous possible"
"Son heure doit venir, et c’est à vous possible",Qu’est réservé l’honneur de la rendre sensible.
Qu’est réservé l’honneur de la rendre sensible.,Il faut qu’avant la course elle apprenne vos feux
Il faut qu’avant la course elle apprenne vos feux,Et je…
Et je…,"Non, ce n’est plus, Moron, ce que je veux ;"
"Non, ce n’est plus, Moron, ce que je veux ;","Garde-toi de rien dire, et me laisse un peu faire,"
"Garde-toi de rien dire, et me laisse un peu faire,",J’ai résolu de prendre un chemin tout contraire ;
J’ai résolu de prendre un chemin tout contraire ;,Je vois trop que son cœur s’obstine à dédaigner
Je vois trop que son cœur s’obstine à dédaigner,"Tous ces profonds respects qui pensent la gagner,"
"Tous ces profonds respects qui pensent la gagner,",Et le Dieu qui m’engage à soupirer pour elle
Et le Dieu qui m’engage à soupirer pour elle,M’inspire pour la vaincre une adresse nouvelle :
M’inspire pour la vaincre une adresse nouvelle :,"Oui, c’est lui d’où me vient ce soudain mouvement,"
"Oui, c’est lui d’où me vient ce soudain mouvement,",Et j’en attends de lui l’heureux événement.
Et j’en attends de lui l’heureux événement.,"Peut-on savoir, Seigneur, par où votre espérance… ?"
"Peut-on savoir, Seigneur, par où votre espérance… ?","Tu le vas voir, allons, et garde le silence."
"Tu le vas voir, allons, et garde le silence.","Bois, prés, fontaines, fleurs qui voyez mon teint blême,"
"Bois, prés, fontaines, fleurs qui voyez mon teint blême,","Si vous ne le savez, je vous apprends que j’aime ;"
"Si vous ne le savez, je vous apprends que j’aime ;",Philis est l’objet charmant
Philis est l’objet charmant,"Qui tient mon cœur à l’attache,"
"Qui tient mon cœur à l’attache,",Et je devins son amant
Et je devins son amant,La voyant traire une Vache.
La voyant traire une Vache.,"Ses doigts tout pleins de lait, et plus blancs mille fois"
"Ses doigts tout pleins de lait, et plus blancs mille fois",Pressaient les bouts du pis d’une grâce admirable ;
Pressaient les bouts du pis d’une grâce admirable ;,Ouf ! Cette idée est capable
Ouf ! Cette idée est capable,De me réduire aux abois.
De me réduire aux abois.,"Ah ! Philis, Philis, Philis."
"Ah ! Philis, Philis, Philis.","Ah ! hem, ah ah ah ! hi hi hi hi. Oh oh oh oh."
"Ah ! hem, ah ah ah ! hi hi hi hi. Oh oh oh oh.","Voilà un Écho qui est bouffon ! Hom hom hom,"
"Voilà un Écho qui est bouffon ! Hom hom hom,",ha ha ha ha ha.
ha ha ha ha ha.,Uh uh uh. Voilà un Écho qui est Bouffon !
Uh uh uh. Voilà un Écho qui est Bouffon !,"Oui j’aime à demeurer dans ces paisibles lieux,"
"Oui j’aime à demeurer dans ces paisibles lieux,","On n’y découvre rien qui n’enchante les yeux,"
"On n’y découvre rien qui n’enchante les yeux,",Et de tous nos Palais la savante structure
Et de tous nos Palais la savante structure,Cède aux simples beautés qu’y forme la nature :
Cède aux simples beautés qu’y forme la nature :,"Ces Arbres, ces Rochers, cette Eau, ces Gazons frais"
"Ces Arbres, ces Rochers, cette Eau, ces Gazons frais",Ont pour moi des appas à ne lasser jamais.
Ont pour moi des appas à ne lasser jamais.,Je chéris comme vous ces retraites tranquilles
Je chéris comme vous ces retraites tranquilles,Où l’on se vient sauver de l’embarras des Villes ;
Où l’on se vient sauver de l’embarras des Villes ;,De mille objets charmants ces lieux sont embellis ;
De mille objets charmants ces lieux sont embellis ;,"Et ce qui doit surprendre, est qu’aux portes d’Élis"
"Et ce qui doit surprendre, est qu’aux portes d’Élis",La douce passion de fuir la multitude
La douce passion de fuir la multitude,"Rencontre une si belle, et vaste solitude :"
"Rencontre une si belle, et vaste solitude :",Mais à vous dire vrai dans ces jours éclatants
Mais à vous dire vrai dans ces jours éclatants,"Vos retraites ici me semblent hors de temps,"
"Vos retraites ici me semblent hors de temps,",Et c’est fort maltraiter l’appareil magnifique
Et c’est fort maltraiter l’appareil magnifique,Que chaque Prince a fait pour la Fête publique :
Que chaque Prince a fait pour la Fête publique :,Ce spectacle pompeux de la Course des Chars
Ce spectacle pompeux de la Course des Chars,Devrait bien mériter l’honneur de vos regards.
Devrait bien mériter l’honneur de vos regards.,Quel droit ont-ils chacun d’y vouloir ma présence ?
Quel droit ont-ils chacun d’y vouloir ma présence ?,Et que dois-je après tout à leur magnificence ?
Et que dois-je après tout à leur magnificence ?,"Ce sont soins que produit l’ardeur de m’acquérir,"
"Ce sont soins que produit l’ardeur de m’acquérir,",Et mon cœur est le prix qu’ils veulent tous courir :
Et mon cœur est le prix qu’ils veulent tous courir :,"Mais quelque espoir qui flatte un projet de la sorte,"
"Mais quelque espoir qui flatte un projet de la sorte,",Je me tromperai fort si pas un d’eux l’emporte.
Je me tromperai fort si pas un d’eux l’emporte.,Jusques à quand ce cœur veut-il s’effaroucher
Jusques à quand ce cœur veut-il s’effaroucher,Des innocents desseins qu’on a de le toucher ?
Des innocents desseins qu’on a de le toucher ?,"Et regarde les soins que pour vous on se donne,"
"Et regarde les soins que pour vous on se donne,",Comme autant d’attentats contre votre personne ?
Comme autant d’attentats contre votre personne ?,Je sais qu’en défendant le parti de l’Amour
Je sais qu’en défendant le parti de l’Amour,On s’expose chez vous à faire mal sa cour :
On s’expose chez vous à faire mal sa cour :,Mais ce que par le sang j’ai l’honneur de vous être
Mais ce que par le sang j’ai l’honneur de vous être,"S’oppose aux duretés que vous faites paraître,"
"S’oppose aux duretés que vous faites paraître,",Et je ne puis nourrir d’un flatteur entretien
Et je ne puis nourrir d’un flatteur entretien,Vos résolutions de n’aimer jamais rien.
Vos résolutions de n’aimer jamais rien.,Est-il rien de plus beau que l’innocente flamme
Est-il rien de plus beau que l’innocente flamme,Qu’un mérite éclatant allume dans une âme ?
Qu’un mérite éclatant allume dans une âme ?,Et serait-ce un bonheur de respirer le jour
Et serait-ce un bonheur de respirer le jour,Si d’entre les mortels on bannissait l’Amour ?
Si d’entre les mortels on bannissait l’Amour ?,"Non, non, tous les plaisirs se goûtent à le suivre,"
"Non, non, tous les plaisirs se goûtent à le suivre,",Et vivre sans aimer n’est pas proprement vivre.
Et vivre sans aimer n’est pas proprement vivre.,Je portais dans une cage
Je portais dans une cage,"Deux moineaux que j’avais pris,"
"Deux moineaux que j’avais pris,",Lorsque la jeune Cloris
Lorsque la jeune Cloris,Fit dans un sombre bocage
Fit dans un sombre bocage,"Briller, à mes yeux surpris,"
"Briller, à mes yeux surpris,",Les fleurs de son beau visage :
Les fleurs de son beau visage :,"Hélas ! dis-je aux moineaux, en recevant les coups"
"Hélas ! dis-je aux moineaux, en recevant les coups","De ses yeux si savants à faire des conquêtes,"
"De ses yeux si savants à faire des conquêtes,","Consolez-vous, pauvres petites bêtes,"
"Consolez-vous, pauvres petites bêtes,",Celui qui vous a pris est bien plus pris que vous.
Celui qui vous a pris est bien plus pris que vous.,"Dans vos chants si doux,"
"Dans vos chants si doux,","Chantez à ma belle,"
"Chantez à ma belle,","Oiseaux, chantez tous"
"Oiseaux, chantez tous",Ma peine mortelle :
Ma peine mortelle :,Mais si la cruelle
Mais si la cruelle,Se met en courroux
Se met en courroux,Au récit fidèle
Au récit fidèle,Des maux que je sens pour elle ;
Des maux que je sens pour elle ;,"Oiseaux, taisez-vous."
"Oiseaux, taisez-vous.","Oiseaux, taisez-vous."
"Oiseaux, taisez-vous.","Tu m’écoutes, hélas ! dans ma triste langueur ;"
"Tu m’écoutes, hélas ! dans ma triste langueur ;","Mais je n’en suis pas mieux, ô ! beauté sans pareille !"
"Mais je n’en suis pas mieux, ô ! beauté sans pareille !","Et je touche ton oreille,"
"Et je touche ton oreille,",Sans que je touche ton cœur.
Sans que je touche ton cœur.,"Arbres épais, et vous prés émaillés,"
"Arbres épais, et vous prés émaillés,",La beauté dont l’Hiver vous avait dépouillés
La beauté dont l’Hiver vous avait dépouillés,Par le Printemps vous est rendue :
Par le Printemps vous est rendue :,Vous reprenez tous vos appas ;
Vous reprenez tous vos appas ;,Mais mon âme ne reprend pas
Mais mon âme ne reprend pas,"La joie, hélas ! que j’ai perdue."
"La joie, hélas ! que j’ai perdue.",Ton extrême rigueur
Ton extrême rigueur,"S’acharne sur mon cœur,"
"S’acharne sur mon cœur,",Ah ! Philis je trépasse !
Ah ! Philis je trépasse !,Daigne me secourir :
Daigne me secourir :,En seras-tu plus grasse
En seras-tu plus grasse,De m’avoir fait mourir ?
De m’avoir fait mourir ?,"Vivat, Moron."
"Vivat, Moron.","Ah ! quelle douceur extrême,"
"Ah ! quelle douceur extrême,",De mourir pour ce qu’on aime. bis.
De mourir pour ce qu’on aime. bis.,Courage Moron ! meurs promptement
Courage Moron ! meurs promptement,En généreux Amant.
En généreux Amant.,"Chère Philis, dis-moi, que crois-tu de l’Amour ?"
"Chère Philis, dis-moi, que crois-tu de l’Amour ?","Toi-même, qu’en crois-tu, ma compagne fidèle ?"
"Toi-même, qu’en crois-tu, ma compagne fidèle ?","On m’a dit que sa flamme est pire qu’un Vautour,"
"On m’a dit que sa flamme est pire qu’un Vautour,",Et qu’on souffre en aimant une peine cruelle.
